summary,comment
neutral,have scheduled flight Sat(2morrow) CHO-CLT CHO needs to be added to weather advisory.  Please evaluate asap.
neutral,will shall see in the next couple of minutes.
negative,"right, can you use a shuttle ticket from LGA to BOS for any shuttle flight? Probably gonna miss the 4pm."
negative,"I did, but i need to get a human being. What's the fastest way to achieve this? All I get is a computer."
negative,"Batting 1.000! Four flights in a month, all four delayed!"
positive,Just talked to reservation. Must congratulation to them. Very friendly.  Good for usair. The ONLY airline we fly.
neutral,I am just trying to establish what your policy is. Thanks!
negative,"fight was delayed 3 hrs in MCO, now I'm stuck in Philly with a standby ticket, flight 4009. Solution needed."
negative,waiting for bags now over 25min in Phl bag claim!
positive,awesome! Flight 676 out of philly on Tuesday. Party in row 15 if you're interested.
negative,Call volumes are high so the best answer is to hang up on me?
positive,i got through and am able to switch my flight with no charge. Thank you
neutral,will you please start offering more routes out of triflight to more locations instead of just charlotte and atlanta
neutral,can I bring mini bottles of booze on to my flight?
negative,your staff at LAX really messed up on this one. Failing to scan my suitcase tag.
negative,Not happy with start of trip!  Cancelled Flightled flight poor customerservice
neutral,what is your policy around bringing a breast pump on board?
positive,"Thanks. No DC yet, I see. I will keep that link and check back. Appreciate it!"
negative,I'm glad too. But I should not have to spend an hour to try and track down the basic information that you already have available.
neutral,Will you guys be offering no-fee changes for flights out of DCA tomorrow afternoon?
neutral,thanks is there a beareavement discount anymore or not should I just book online
negative,"I needed to be at my destination by lunchtime today. No one could get us on a flight, but I've since learned Delta had one!"
negative,can I get a free mimosa to compensate my flight delay (yet again) thx
positive,Reservation agent on the phone did a great job.
negative,"get ur act together, start treating ur passengers w/ kinder, have more sanitized planes. Take a page from Delta perhaps."
negative,is a joke. Stop losing my luggage!
neutral,can I book using some sort of breavement program? I need to get home for my pops funeral
negative,"I've been on hold for 35 mins to sort out my reservation out of sync message when trying to check in, what's wrong?!?"
negative,I already let them know and sent 4 complaints.  Got a call back finally when I was asleep and there is no return call back 
neutral,Thank you for valuing my feedback. What will you do with it?
neutral,made it.. Never ran so fast in my life
negative,I've been standing on a very crowded bus for the past 30 mins for DCA-PIT. HELP!
negative,"Thanks, but you can't. My flight was Cancelled Flightled for ""maintenance"" reasons, and the next available flight was too Late Flight for me."
negative,"yes, I was rebooked the next day (Weds). Thanks. Just upset that I lost 2 additional work days AND paid for my own hotel. losing"
neutral,call Gate D9 in CLT and get me on this flight
positive,thanks for helping with reFlight Booking Problems Cancelled Flightedflight Yvonne Anthony.  You will help us get to Tel Aviv on time.  HappyFriday
positive,big thanks to Yvonne Anthony from the Chairman's desk.  Top tier customer service today.  outstanding service  support.
positive,I appreciate your prompt response.
neutral,of course weather was a joke 43 beats 5 degrees in PHL! 
negative,is setting themselves up for a lawsuit. No way we should sit on a plane for an hour and a half.
neutral,1826 trying to make a connection to Punta Cana leave PHL at 9:50
negative,is the worst. 45 minute delay in Boston. Not weather reLate Flightd. Going to miss our connecting flight. Gassing up the plane issue.
negative,is the worst!! Still haven't left.. Everyone missing connections.
negative,today's flight to Philadelphia.  It's a little disappointing for the unnecessary delays and it's not even snowing in FL.
neutral,can you help me reroute my trip?
negative,gonna miss connecting flight.. Delayed flying out of Boston
neutral,I'm in the finalstretch to chairman execplat mileagerun for 6k needed any suggestions? letsgo!
negative,on flight 1839 waiting for weight and balance info for the past 30 minutes!!!
positive,thank you for refunding me on my baggage ! really appreciate it
negative,thanks for taking my flight off the board AND NOT PROVIDING and updates about my flight which is 26 minutes Late Flight.
negative,"that's incorrect. Four people, last flight of the night, with our bags. horriblecustomerservice"
positive,Exicted to be flying with y'all soon !!
neutral,and that you can choose the same seat for free after clicking 100 buttons.
negative,"due to your expensive change fees either. Out of all the airlines, we chose yours, all do you could screw us. STRANDED!! No help!"
neutral,"but it's not their fault, because their policy says they at least got us to our destination. Really?"
negative,"ruined our honeymoon by causing us to miss our international flight, and now we are stranded."
positive,FA attendant on 4553 PHL to PWM tonight was fab!  An asset to your team.  From 1F. Have a great night team!
negative,"Appreciate the calls when flight's delayed, but the recorded msg is tedious  just goes on  on. I vote for texts if practical :)"
positive,thank you finally got our bag. Customer services reps were wonderful.
neutral,"Have a 6:05pm flight out of PHL Sat, 2/21. Snow expected. Are we able to switch to an earlier flight without penalty?"
neutral,we got our bags today. Thanks!
positive,flight 437 PHXORD.  Lead FA Bill is the most professional FA I have seen in 9 years of flying USAir. I have no AB cards. :-(
positive,I miss you too. Work has taken me out of Philly. I
negative,Total lack of cust. service for a mom flying solo w. baby. Will not be flying w. Am. Air again!!!
negative,pure anarchy on flight 555 to SLC. People walking in with nothing packed in bags with arms full of stuff. getittogether
negative,you know...hockey sticks are expensive. Your baggage handlers shouldn't just be throwing them on the cart.
positive,no problem.  Things worked out at airport.   Thanks!
neutral,any word on whether or not flight 1971 from Seattle to Charlotte will have connections held? Or...
neutral,please change direct flights from RIC to JFK instead of LGA. Pleeeeease! LGA is the pits.
negative,i tried it but doesnt help very much and Reservation seems to be overwhelmed with some issues
negative,should take a lesson from and wait for passengers from connecting flights. Shame..
positive,"yes, it's a domestic flight. Thank you!"
neutral,can I bring a copy or photo of my baby's birth certificate for the flight? I feel uncomfortable traveling with the real thing.
neutral,is there  anyway to get rebook in help on ?
neutral,"wanted to connect to discuss sponsorship opportunities, silicon valleys only 10 day film festival"
negative,"garywerk poor excuse. I was towards front of plane, no sandwiches, we have to pay for them, should have more"
negative,still in yuma waiting for 2702 to go. Looks like I might miss 2696 to MontereyRegionalAirport need options please
negative,"Thanks for your feedback, Alan. Thx, but  no help as I watch a flt Lve w/open seats and I wait 3hrs for nxt flt"
negative,still waiting on a response
negative,who do I call to use credit fm. prev. cxl tix that can't be rebooked online?Rep I called quoted me $1k higher than the website.
negative,so basically I am stuck paying for hidden fees and being bumped to an inferior flight. here I come. mergers
neutral,How will I change it?
negative,oh the irony. A dog who will not spot barking in waiting area is now right in front of me! Please send me a cocktail coupon stat
neutral,when is US Air switching to AA iOS app? AA app is much better.
neutral,"a $75 change is ok most of the time but if there r open seats on earlier flt and no chkd bag, why not let someone fly standby?"
positive,"thanks to the gate agent in State College, PA that was able to get me on an earlier flight AND figure out an earlier connection!"
positive,I just think it's weird to have mileage as 666
neutral,flight 1783 CLT to BOS
negative,Some of my 4 kids are anxious. Husband and I can't sit with all 4 with current setup. No warning that our 6 seats changed.
negative,but you guys switched me and didn't inform me of the chathes
negative,"worst airline ever....left without luggage for 7 days, submit $700 expenses and they offer a refund of $297? badservice"
negative,"your app is bad, and you should feel bad."
negative,Still irritated that our well planned and booked return was messed with  with no warning.
neutral,Is $99 companion ticket benefit of Premier World MasterCard still limited to flights or do AA now qualify as well?
negative,is probably losing a family of world travelers as customers due to broken processes. I hope you can fix it
neutral,"Only for one flight, though. The 2nd leg my kids are sitting scattered about the aircraft."
negative,"yes thanks I have never seen anything like this and I come to Yuma all the time, big disappointment. There are 40+ still waiting"
negative,You will be hearing a lot more from me instead of your feedback when I get back home.
negative,has the most ass backwards process for using credits on flights. even trying to get a hold of customer relations is impossible
negative,Will you be destroying lives in Eastern GastonCounty during this lively little event? For profits you will.
negative,5 hour cross country morning flight and you have no food? BadService
neutral,"been with  since 03,  back and forth Gatwick - Charlotte, then LHR. Bit sad nostalgic way."
negative,understood and I am sympathetic. How do I get my $100 back? I shouldn't have to pay especially if YOU switched my flight.
negative,we bought our tickets months ago. Had seats together for all 6. Haven't changed flight. Now 4 kids seats are scattered on plane.
negative,1 person to check in 50 people and the plane boards in 20 minutes and he is telling people exec bene's not honored
neutral,no problem...just funny have a nice day
neutral,yes travel is complete flight 5095 from CLT to CAK Feb 18
negative,a year and every time with US Air something happens. I sat waiting for a re-scheduled flight for 10 hours then to say its
negative,"was switched to an American Airlines flight, not by choice, and now I am charged $50 for bags? Thought y'all merged?"
negative,My flight cost me just under $800 and this is what happens? I fly with and have no problems. I come the US 4-5 times...
negative,No I got to Philly on Monday and got to my final destination South Carolina on Wednesday. Its not acceptable.
negative,over an hour now and still no one at the Yuma counter
neutral,"Reminder: From 2/28, well be tweeting from . I look 4ward to that follow back too!"
negative,what an amazing day. Delayed 4 hrs bc frozen h2o on plane Now sitting  gate on same plane 4 30 mins still waiting! flight1797
neutral,"THE END: RT Reminder: From 2/28, we"
negative,"Stuck in Philadelphia airport for 32 hours due to ""maintenance"". Dreading my flight back home. Disgusting."
negative,I'll sincerely regret Dividend miles! Good things coming to an end :(
neutral,for frequent flyer miles can we schedule interchangeably and get credit?
negative,I've called to resolve my dividend miles issue for a week to no avail.  Please advise ASAP.
negative,they finally answered. They were rude and didn't help me at all.
positive,"success made flight , please thank the crew of 556 great time recovery"
neutral,I have 2d and 3d embossed badges and patches superior to the ones you are currently using.
positive,so far so good this week. SAV to CLT boarded BEFORE the departure time (first time in 4 weeks). Perhaps an on time departure?!
neutral,is this accurate? Safety guide shown no MP3 player usage during takeoff and landing. http://t.co/Nvk3IrG4KP
negative,I've been on hold for 36 mins and counting cause you charged my credit card for bag but provided no receipt and said error. Awful
neutral," I have a party of 4 booked for a flight in Aug. At 10:05am, how can I find out how much it would cost to change to an earlier fl"
negative,1917. Still sitting here. Feels badly handled.
negative,Was just on hold with you all for TWO HOURS and then got hung up on. oh my god.
negative,USAirways. On phone hold for 30+ mins trying to speak to an agent. Can't change reservation online. Sigh. badcustomerexperience
positive,that's where we are now. Thank you.
negative,"I've been on a music hold for over a hour trying to get my AAdvantage membership merged, can someone please call me ASAP?"
neutral,flight was full.  1 open middle seat.  Did not want to sit there.  What is your policy?
neutral,657. My daughter and I are together with her baby.
negative,How about moving my seats to where I bought them 4 months ago? This happens far too often...
negative,if you could change your name to and do what they do...that'd be awesome. Also this plane smells like onion rings.
negative,what's the issue with flight 4420 from jax being delayed tonight?
neutral,"if you've got room on an earlier flight home, why charge me $75 to get on it? Be the hero!"
neutral,Question is will he and his lady behave...
negative,"I have now called 12 times in the last three days. That's unacceptable. I'm willing to wait on hold, but that's not an option."
positive,how about a drink voucher for the next flight?? winkwink
positive,nice touch with using my first name.  Very intimate.  I'll be filing a claim soon to be reimbursed. Have a  day!
positive,"after missing my flight and reFlight Booking Problems 2x, I just walked onto another flight and my phone was still on the seat!!"
negative,great job communicating to the passengers! Flight 1855 doesn't exist anymore?
positive,thanks Travis at PHL A East checkin for knowing baggage policies. Skis  boots count as 1. Teach your mgr who didn't know
negative,Thx for responding :) When bags came there was mad rush towards end of jetway
negative,Have an agent with reservations contact me instead of asking me to waste my time by sitting on the phone for hours
negative,"If you believe in keeping your customers happy, especially after a mistake was made on your part..."
negative,I had a rep 10 min in who said she couldn't help so transferred me to dividend miles customer service
neutral,please please please let my plane back to the gate so I can get off as I will miss connection due to CLT closing. 2034
neutral,unfortunately not. I think I watched it take off from the bus. Rebooked for a Late Flightr flight now planestrainsandautomobiles
neutral,I was supposed to be on flight 1861 from Charlotte to RDU  8:20pm yesterday. Is the same flight scheduled for departure tonight?
positive,Thank you so much its been a very stressful day
negative,"me too. In the future, have a better harsh weather preparedness plan. So much of your staff called out that everything snowballed"
neutral,"Darn it, first in line for no upgrade! Wish I understood the policy"
negative,Waiting for my luggage on flight 1923. Is there a delay?
negative,will you please update your website with the most current flight status? And update your customer service phone  on google thx
positive,Absolutely!! The staff was amazing!!
negative,you are horrendous.  Pull your shit together
positive,Haha - that will indeed be a great day!
negative,"I want my money back. Now we're sitting on the runway. After a 2 hour delay, waiting for the baggage to begin loading."
negative,how is your gate agent gonna tell me my flight is on time when its 5 minutes past departure time and the previous flights plane..
negative,this is the aforementioned pilot. sure you want to merge with these patron hitting hoodlums?
neutral, my flight was 3729...but I left my phone on the plane or the shuttle :(
positive,thank you! I tried that and they said they didn't have it. Anywhere else to try?
negative, best u could do-I might get my refund within 2 billing cycles. Months of u guys asking for another chance. I'm done
negative,"and  4 days of Cancelled Flightations, I have driven to 3 airports in 3 different states, spent more on gas than my flight."
negative,then why did my whole team be able to put there carry ons under the plane
positive,customer service at its finest
negative,No speciifc email. 1500 character limit for complaints. Is AA/US customer complaints adopting the  model?
neutral,please hold 3923! I can see it. Just can't get off my first plane quick enough
negative,please hogs my next flight for me! I'm waiting on a bus to get me off one plane so I can run to the other. It leaves in two min!
positive,Fabulous - thank you so much! Looking forward to taking to the skies with you! :)
neutral,what is the baggage allowance on flights from Glasgow to the US?  Thanks
neutral,is there any way that you could hold flight 628 in CLT my husband is stuck in the security check line. flight scheduled for 1PM
negative,missing my reservations due to a Cancelled Flightled flight. Make it right by giving me first class tomorrow. Make your customers happy.
negative,"it's not a consolation because my bags are somewhere else, which is a real impediment to me going on a different vacation"
negative,any tips on getting a hotel that your airline won't get for any of us even though we were told that we'd make our flight?
neutral,"I left my son's Duke hat on flight 1761 last night. It says ""Mason"" on the back. Any way of locating it? Thanks in advance!"
negative,I booked a flight yesterday but didnt receive an email confirmation and I my dividends number isn't registering. Please help.
positive,crew keeping safety top of mind in CLT.
negative,"there are seats together, they just have fees. Seems if I'm taking a 5am flight the least you can do is wave the $10."
neutral,Im researching a flight  noticed a small issue w/class of service between your site  other sites. Could Reservations help me?
negative,I need someone from management to contact me I was flying to a funeral won't make it now to add to my pain they want me 2 pay
negative,Just contaced EYEWITNESS NEWS about the ripoff the Cancelled Flighted now they want me to pay
neutral,How can I change without penalty and not have to call customer service
neutral,flight 3900 fro ORF to PHL.
negative,The phone line disconnects. How can I be in the queue to be answered when the phone line simply disconnects when I call?
negative, to arrive the plane I'm sitting on needs to take off...wish someone would tell us what the holdup is
negative,This is dating back to Nov. I have been sent back and forth between you and eDreams_en. It's a disgrace.
positive,will do. Hoping for a voucher for a future flight Optimistic
neutral,"on your website and on your boards at Logan it said it was on time, so we went through security and got to the gate"
negative,I got up at 2 am for a 5 am flight from bos to Charlotte which I found was Cancelled Flightled once I got to the gate
negative,it takes a month?
negative,"Yes, I filed a report in Atlanta. My bags are in Charlotte, NC. 24 hours Late Flightr and still can't find my luggage ... USAirways"
negative,it was supposed to be a carry on and in Pittsburgh  coming to Boston it was a carry on
neutral,You need to contact me ASAP. Furious
neutral,how's us 1797 looking today?
neutral,we've already made other arrangements ourselves.
positive,"Believe me, I understand. Flight 2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today."
negative,"aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. nocareforcustomers"
negative,Mold on my flight?!? filthyplane hopeidonotgetsick
negative,"I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. slapintheface"
neutral,"is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx"
negative,it's not just frustrating--it was PAID for! how do we get a refund?
negative,"I sure hope you all can fix USAirways. Good luck, their service sucks. nexttimeiwillflysouthwest"
negative,thanks for no fresh food on my cross country flight and for making my connection so close No time to eat. TPA-DFW-LAX
neutral,"my flight got Cancelled Flightled from GRK to DFW, then to LEX for tomorrow and I need it rebooked."
neutral,Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(
negative,your planes made me miss 2 connections in 2 days. Thanks for nothing
neutral,just disappointed with the Flight Booking Problems process and add
negative,thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating
negative,can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.
negative,r u serious?? 304min delay with lines missed my connecting
negative,"You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous."
positive,I might look into that. My wife travels much more than I do. Could we both use the membership?
neutral,What happens when you combine Top Chef the beauty of San Miguel de Allende. My Late Flightst food blog.
positive,got another flight. Thanks you
neutral,u r horrible.went online to Cancelled Flight flight-no button-4that.Called CS wait time 40 minsput in my .800calledit hungupNOHELP
negative,Trying desperately to get my boyfriend booked on the same  flight as myself for the same price. Can you help?
positive,"yes yes yes,so glad to be headed home!"
negative,don't worry. I'll be sending a letter with what I expect from you for compensation. I fly twice a week w/you guys...for now
positive,thanks keep me updated just hope I make either of my connections to Killeen Tx
negative,I have been on hold w/customer service line for 68 minutes.  This after I was on phone with an agent for 35 min b/f call droped
negative,I tried to book a rwrd and was told I couldnt. Bought tix on USAir (now AA-no choice) didn't bother to + AAdv with this svc...
neutral,did you know that suicide is the second leading cause of death among teens 10-24?
negative,narrowly made standby...lots of snags this trip!
negative,"i ordered it as i always do. But on a 9hour flight delayed for 4 hours, it was worse than ever before when you forgot my meal."
positive,"RobertDwyer AA doesnt charge any fees to change award tickets as long as the origin, destination  award type remains the same"
negative,I need a flight out tonight. Isn't there anything else?
positive,thank you for the confirmation.
negative,"spent $8 for the choppiest feed of ""Whiplash"" ever. linesfail iwantmymoneyback"
neutral,OK I will call them likely tmrw UK time to question the process getting the change charge reversed due to a bereavement
neutral,Here is the photo ;)
negative,you guys are killing me.
positive,Aww cool! It's nice to know they are still up above my head then. One of my faves.
neutral,what's the status of flight 1357 out of sju?
neutral,"Would love to DM you, but my  app says you're not following me and I can't."
negative,"Its not that I wasn't offered ""perks"" by USAirways.  I ASKED and was told, ""NO."" thenewamerican"
negative,good care of their customers if anything happen to then take you Delta  for getting me back to NYC !! Screw you 
negative,cost me over 200 dollars because flight was Cancelled Flightled and couldn't even give me a food comp!! Fly Delta they take
negative,they will just say dumb things to beat around the bush ! If you're flight Cancelled Flightled be prepared for no compassion from them
negative,worst company ever please do not fly with them I repeat please do not fly !! They will not credit you if you're delayed
positive,"continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh."
negative,and iTunesMusic have put me in bad mood. I haven't been this angry since Spagnuolo coached the Rams
negative,"flight 1181 out of Vegas to DFW. Cancelled Flightled Sunday and Monday, no whammie today!"
neutral,These birds could fly to South America for example Argentina
negative,that doesn't really answer my question. Maybe if I provide more details you can give me clarification...
negative,this delayed bag was for my friend Lisa Pafe. She got her bag after 3 days in Costa Rica. Issue no updates on your system.
positive,These are some awesome photos. Thanks for sharing! 
positive,"new plane, gogo, easy power for laptop, iPhone, just missing a good boat-style swivel cup holder for my dietcoke happyflier"
neutral,I thought all those planes were retired? MD80
positive,Just got off the phone customer service. Only 8 minutes to get my issue resoled. You guys are awesome.
positive,thanks for the info Is there a number I can call to speak to a person? It's going to take an hour to type it out
neutral,"we are off to Kax premium.  Hoping this flight is better food, TV now I know how to work it and service. Tnx"
positive,beantownmatty Sounds like a date!
negative,I'm frustrated by all of the attitude toward ExecPlat members. thenewamerican
negative,another day another grievance with this airline. No customer service
negative,"You've misunderstood. WOULD NOT do a same day flight change for me. The gate agent said, ""NO."""
neutral,Flight 35. I'm on my way.
negative,car accident on my way to the airport. Missed flight from rno to dca. Trying to resched but your line has 2 hr wait
positive,"We hope you enjoy the WinterWeather and brought your warm coat and gloves, Maria! Yup! New beanie"
negative,lpalumbo what weather sun is out
negative,so you fail again flight to rdu sitting waiting on flight attendants. your logistics are not good
negative,any idea on what the wait time is for refunds from USAirways? I was told a few days over the phone - but it's well past that.
positive,I was happy to purchase the upgrade. If only it was avail on my next flight.
negative,It is now going to be reported to the police due to the sexual assult sad that you didn't care
neutral,my flight to DFW from LIT on my way to PDX tomorrow was Cancelled Flighted. Can you help me?
negative,The issue is the lack of consideration of an announcement made so Late Flight when the gate agent had been there for over an hour.
negative,I understand. But why is this the only flight of the day not going out? Twice?! I'm now out of extra meds and diapers for baby.
neutral,I sure do. I'm running version 3.10.0
negative,you could train your flight attendants to have some manners and decency
negative,you need to work harder on the disconnect between your intention and the reality your passengers face
positive,Hopefully you ll see bad ones as opportunity to get better and not dwell in it... and the good ones as encouragement words!
negative,"I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. slapintheface"
neutral,"is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx"
negative,1hr 46 min. Cost of flight change $788. Was $188 2hrs ago b/f drop call. Cancelled Flighted flight. Asked 4 refund.
negative,it's not just frustrating--it was PAID for! how do we get a refund?
negative,"I sure hope you all can fix USAirways. Good luck, their service sucks. nexttimeiwillflysouthwest"
negative,thanks for no fresh food on my cross country flight and for making my connection so close No time to eat. TPA-DFW-LAX
neutral,"my flight got Cancelled Flightled from GRK to DFW, then to LEX for tomorrow and I need it rebooked."
negative,I purchased Main Cabin XT for f-1571AUS. Flight was Cancelled Flightled and I was rescheduled on 1600 with regular seats. Credit?
neutral,just disappointed with the Flight Booking Problems process and add
negative,thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating
negative,.can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.
negative,"You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous."
neutral,I might look into that. My wife travels much more than I do. Could we both use the membership?
neutral,What happens when you combine Top Chef  the beauty of San Miguel de Allende. My Late Flightst food blog.
negative,This doesn't address my issue. I am on hold for 30 min to speak with an agent.
positive,got another flight. Thanks you
neutral,u r horrible.went online to Cancelled Flight flight-no button-4that.Called CS wait time 40 minsput in my .800calledit hungupNOHELP
neutral,I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 
negative,still waiting for a flight... I should get my money back
negative,I Cancelled Flighted my flight. I really don
neutral,Trying desperately to get my boyfriend booked on the same  flight as myself for the same price. Can you help?
negative,don't worry. I'll be sending a letter with what I expect from you for compensation. I fly twice a week w/you guys...for now
positive,thanks keep me updated just hope I make either of my connections to Killeen Tx
negative,I have been on hold w/customer service line for 68 minutes.  This after I was on phone with an agent for 35 min b/f call droped
negative,I tried to book a rwrd and was told I couldnt. Bought tix on USAir (now AA-no choice) didn't bother to + AAdv with this svc...
neutral,did you know that suicide is the second leading cause of death among teens 10-24?
negative,narrowly made standby...lots of snags this trip!
neutral,pbpinftworth iPhone 6 64GB (not 6 plus)
negative,"i ordered it as i always do. But on a 9hour flight delayed for 4 hours, it was worse than ever before when you forgot my meal."
neutral,"RobertDwyer AA doesnt charge any fees to change award tickets as long as the origin, destination  award type remains the same"
negative,I need a flight out tonight. Isn't there anything else?
positive,thank you for the confirmation.
negative,"spent $8 for the choppiest feed of ""Whiplash"" ever. linesfail iwantmymoneyback"
neutral,OK I will call them likely tmrw UK time to question the process getting the change charge reversed due to a bereavement
negative,you guys are killing me.
positive,Aww cool! It's nice to know they are still up above my head then. One of my faves.
neutral,what's the status of flight 1357 out of sju?
neutral,Yes to the iOS. I'm running iOS 8.1.3
negative,worst company ever please do not fly with them I repeat please do not fly !! They will not credit you if you're delayed
negative,"continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh."
negative,and iTunesMusic have put me in bad mood. I haven't been this angry since Spagnuolo coached the Rams
negative,"flight 1181 out of Vegas to DFW. Cancelled Flightled Sunday and Monday, no whammie today!"
positive,"Keep up the good work folks, this is where Cessna's become 747's!"
neutral,my key point of confusion is whether I can make this change even though the initial Flight Booking Problems was on  metal?
neutral,origin/destination/dates are the same. Going from  connecting flight to AA direct flight. Award is saver level.
neutral,When will the old 777-200 fly ORD-PVG get upgraded?
neutral,I know. Just a little cold weather humor. :)
negative,None of the LAX flights into DFW have been Cancelled Flightled. Those landing before and after ours are fine. Completely arbitrary.
negative,that doesn't really answer my question. Maybe if I provide more details you can give me clarification...
negative,this delayed bag was for my friend Lisa Pafe. She got her bag after 3 days in Costa Rica. Issue no updates on your system.
negative,I'm frustrated by all of the attitude toward ExecPlat members. thenewamerican
negative,another day another grievance with this airline. No customer service
negative,"You've misunderstood. WOULD NOT do a same day flight change for me. The gate agent said, ""NO."""
neutral,Flight 35. I'm on my way.
negative,car accident on my way to the airport. Missed flight from rno to dca. Trying to resched but your line has 2 hr wait
neutral,I sure do. I'm running version 3.10.0
negative,you could train your flight attendants to have some manners and decency
negative,the flight is not going to make the connection to MEX AA2444
positive,Thanks for sharing these photos! Round of applause for your crews! We appreciate all their hard work.
negative,"1-the lavatory freezes, 2- problem with a nitrogen line 3-a low tire with the inflating equipment malfunctioning AA2444 and..."
neutral,"i want to change my flight for next week, they will still charge me. Waiting for fligt status"
neutral,"When Flight Booking Problems an int'l flight online, do I have to provide a passport number when Flight Booking Problems or just when I arrive at airport?"
neutral,hook me up with a free trip to Barbados and I will tell you the secret beaches to see
negative, we are going to the police dept due to the sexual assult that your stewardess allowed to occur and your lack of concern
neutral,Thank you for responding so quickly to my tweets I do appreciate that.
negative,I am trying to change the time of a flight I already purchased and was told I have to pay a $400 change fee. Ridiculous.
negative,Any reason why my 1463 flight to Chicago is boarding and I still don't have a seat assignment? Seriously?
negative,"if this is how your merger is going to go, you fail! Huge probls w/comm on DFW storm. Cxld rtrn flts. NOT COOL!!!"
negative,why does it feel like I'm being nickeled and dime to enjoy a flight with AA? I purchased a tkt but have to pay extra for a seat
positive,Happy TT to my friends . Hope the weather isn't causing you too many headaches.
neutral,"if I've booked an AA award on USAir metal, and space opens up on AA metal, can I change to the AA flight without fees?"
positive,well have all day and all the time in the world
neutral,"if i want to change my flight due to weather conditions in Dallas this weekend, i should be able to cover change fee with miles"
neutral,Are you expecting delays/Cancelled Flightlations at Dallas on 25/26th due to the snow? Nothing like Monday I hope!
negative,Airline trouble this winter  not getting good customer service? contact we negotiate w/companies forU!
negative,"I guess that is your way of saying thanks for sharing but I can't help you, Good Luck. Happy Birthday to me. Ugh"
negative,"Lots of upset people, freezing terminal, and no gate agent. Kept us waiting on plane beyond allowable time length."
negative,The pilot admitted to us that this delay is entirely because of AA incompetence and poor equip checks.
negative,Yes I am. 2495/1170. RNO departure at 1229 on 2/25 w/connection at DFW to LGA. I can do the 1120am to LAX and then to JFK
negative,How are you going to compensate all of whose days/plans have been ruined because of the AA3490 delay/pending Cancelled Flightlation?
neutral,Hi guys.I have 2/25 RNO-DFW tomorrow.Plane coming from DFW with bad weather in AM.should I consider F
neutral,"Traveling with my infant: Do you check the carseat for free? If so, do you provide a bag? Someone told me but wanted to confirm"
negative,now we are waiting on nitrogen for the struts and the airport nozzle is not calibrated so they are trying to find another???
negative,DM me and I can explain the whole story. I should have been on an earlier flight not US1937
positive,Lets hope it stays that way.Big thanks to your ground/outside crews all across the US the last month. Great FB post yesterday.
negative,"sitting on plane in Columbus, supposed to leave an hour ago. Now the mechanic can't find a tool to service the shock absorber."
neutral,forgot to select my ksml on my flight to LA and it's a few minutes under the 24 hour mark. Is there any way to change it?
negative,I picked the nonstop flight bc I had things to get to. Should
positive,Thanks guys got some sleep. Hang in there DFW with bad weather.
negative,My ticket was booked with AA with miles..... Sorry we sold you a ticket with a company we merged with but we can't fix it?
negative,"..still here. feet are freezing b/c doors have been open. Flt time was 8:30.  We have fuel but now waiting for ""rampers"" AA4285"
negative,"Just got a call from baggage dept. ""...still looking for your property"". It's went missing 1/28. PRERECORDED NO HUMAN SERVICE!!"
negative,there is a fat man stuck in your airplanes bathroom
neutral,I am dealing with the reFlight Booking Problems agent in the Miami airport now
positive,simply amazing. Smiles for miles.Thank u for my upgrade tomorrow for ORD.We are spending a lot of time together next few weeks!
negative,what's the status of flight 3494 XNA to DFW. I'm getting different reports?
positive,Thank you for the quick customer service today. RefundProcedureNotTooPainful I know that Winter Weather is not your fault.
negative,"I need to go to YYZ tmr morning 8am. I switched to already, but my bag is still off in AA la-la land."
neutral,drop me a follow I need help
negative,the whole plane is the same. How old is this plane?  The seats leather is coming apart ay the seams.
neutral,yes I do I am traveling to Marsh Harbor
neutral,cityandsand we're trying to coordinate an airport hand-off of Nutella! veryimportantproject
negative,If the flight I selected online was what was ticketed I would not be missing my connection. I need help getting to DFW or IAH!!
negative,my seat is disgusting. Old and dirty. When are you going to refurbish this plane?  US Air 597 jfk to phx
neutral,"is there any way to manually add gift cards to an ex-EU ticket( AA metal on long haul,BA for intra-EU)?"
negative,I understand the need to drain the lavatory fearing freezing but why no policy on checking that before boarding? smh come on...
